Comment,Parameter
dn_prn,35.24648765501384
dn_sn,42.396686543845334
dsn_prn,11.597877777951613
g_n_prn,140.59985641377662
n_prn_gn,140.3298149213753
g_sn_gn,172.2658487310566
n_prn_sn,110.35587688542924
prn_sn_ls,117.64976451653477
n_13_sn,23.696384481705493
sn_13_gn,27.829643184327946
prn_n_sn,19.43540403901501
dsn_gn,58.118254198401964
dch_gn,32.60292308690842
RP_GP,14.175183950829748
AB,[16.71561627]
AC,[35.00146206]
AB_1,54.5963244182523
D_AB,10.205329794988197
AB_2,100.5994936896598
D_AB2,15.862201927765874
dtr_n,79.5098954332905
d1_2,[ 9.14943691 51.67498877]
