Comment,Parameter
dn_prn,43.98723698751485
dn_sn,49.153914728009354
dsn_prn,11.456927492994662
g_n_prn,131.51318106017493
n_prn_gn,131.65396842371294
g_sn_gn,165.35208105735975
n_prn_sn,102.77515553223267
prn_sn_ls,116.76379444789299
n_13_sn,7.0984330282470784
sn_13_gn,5.023335588463344
prn_n_sn,18.718256809549302
dsn_gn,63.56746867080909
dch_gn,35.23313186017713
RP_GP,17.616565930088566
AB,[21.19309846]
AC,[41.04683927]
AB_1,64.57240371581118
D_AB,13.352999897030644
AB_2,112.72380683707037
D_AB2,22.91417016729793
dtr_n,72.31415525148243
d1_2,
